1	ACSS1
2	ACTR1A
3	AKR1A1
5	ATP5F1D
6	ATP5ME
7	ATP5PO
8	ATP6V1E1
9	BCAN
10	CALR
11	CCT2
12	CCT8
13	CKMT1A
14	A0A0A6YYI4
15	ELAVL2
16	ELAVL4
17	FARSA
18	FARSB
19	G3BP2
20	GPD2
21	HNRNPD
22	HPCA
23	HPCAL1
24	ILF2
25	KRAS
26	MAP6
27	MCCC1
28	NCALD
29	NCAN
30	NCS1
31	NDUFA2
32	NDUFV2
33	NOVA2
34	NPEPPS
35	PCBP2
36	PPP1CB
38	PRKCSH
39	PRPSAP1
40	PSPC1
41	PTPRZ1
42	RBMX
44	RNH1
47	SDHB
48	SEPTIN3
49	SGIP1
50	SLIRP
51	TPD52
52	TPD52L2
53	TPPP
54	TRAPPC3
55	U2AF2
56	UQCRFS1
4	ATP5F1B
37	PPP2CA
43	RIT1
45	RNPEP
46	RPL15
