ID	LogFC	Pvalue	Symbol
1	H3BNQ7	-0.374589878909926	0.0464019427754545	ABAT
2	Q9NUJ1	-0.384949048015036	0.0483293703496642	ABHD10
3	H7C131	-0.242273161411867	0.573181865175817	ACAA1
4	P24752	-0.51582498753212	0.1179929193756	ACAT1
5	Q9BWD1	-0.000654014995544394	0.735374919674383	ACAT2
6	A2A274	-0.339674124770724	0.0612202689172951	ACO2
7	Q9NPJ3	-0.460821054410794	0.189367848524875	ACOT13
8	P24666	-0.140290792623212	0.628753373967067	ACP1
9	P14621	0.132374346189946	0.844019640399456	ACYP2
10	J3QRD1	0.243102410891399	0.097100160854101	ALDH3A2
11	P51649	-0.354285580590124	0.0463292528030534	ALDH5A1
12	P50995	0.143597928463226	0.627357937960873	ANXA11
13	D6RA82	-0.308519300438526	0.100354449012557	ANXA3
14	P08133	-0.353493353672212	0.0279536874687037	ANXA6
15	P20073	0.140828167656677	0.733281737669762	ANXA7
16	Q13825	-0.524251774176935	0.0552920213827303	AUH
17	Q9HB71	0.327857192718459	0.182682955722485	CACYBP
18	Q8IW45	-0.0842678470963192	0.657466393434915	NAXD
19	P50991	-0.0181402815575155	0.75495212382784	CCT4
20	Q14011	-0.629575673420581	0.046687588480885	CIRBP
21	B8ZZB8	-0.0358282992700478	0.585636618442131	CNRIP1
22	Q02246	-0.322658184698684	0.0753774029720641	CNTN2
23	Q92905	-0.577473498700908	0.0365871957872905	COPS5
24	Q8WVH0	-0.207659383718746	0.209369029346357	CPLX3
25	B0QZ18	-0.218795513326683	0.614221958527802	CPNE1
26	Q9HCH3	-0.541377368983384	0.0336736234162063	CPNE5
27	P43155	-0.0126986860181499	0.945610161429855	CRAT
28	Q14194	-0.0337528091583347	0.633467860823434	CRMP1
29	Q13363	-0.427703161413022	0.0254249620748991	CTBP1
30	C9JFR7	-1.02616512676359	0.0213903893329232	CYCS
31	H3BR94	-0.244466618653486	0.115061427408829	DCTN5
32	Q7Z4W1	-0.254863117359441	0.138089648976376	DCXR
33	Q16698	-0.0728752676505806	0.483020456687916	DECR1
34	E9PEX6	-0.734976354447592	0.0111597199210169	DLD
35	Q16555	0.0769001639403595	0.884522210843482	DPYSL2
36	Q14195	0.195660073008328	0.838099560835227	DPYSL3
37	O14531	-0.335200797690135	0.00396969535636075	DPYSL4
38	Q9BPU6	-0.478628626811816	0.130304369976492	DPYSL5
39	Q8TEA8	-0.423210061592835	0.153824807995463	DTD1
40	Q13011	-0.201164381627868	0.246340947295418	ECH1
41	P30084	-0.373672810257341	0.112232171316488	ECHS1
42	Q05639	-0.192744260099469	0.210856231766552	EEF1A2
43	B0QY89	0.120166071475075	0.501409555696109	EIF3L
44	Q9UM22	-0.805241799271173	0.00409636725021999	EPDR1
45	P30040	-0.0164498786264749	0.800158176589971	ERP29
46	P38117	0.0252309332339933	0.719810353635475	ETFB
47	Q96CS3	0.0233277620559761	0.821168878014783	FAF2
48	Q00688	-0.480234388098664	0.0828150774748023	FKBP3
49	P02794	0.0544593215757868	0.876699607035201	FTH1
50	H3BPE7	-0.337557185004391	0.0338502091598007	FUS
51	H3BSM5	-0.388964892128632	0.128458001471111	GABARAPL2
52	P04406	-0.176605306738931	0.586171268671385	GAPDH
53	P63244	-0.276682017869469	0.0934127582266316	RACK1
54	A0A096LP07	-0.0925510448883357	0.551136895962947	GPS1
55	P62993	-0.10651353238218	0.553776941529449	GRB2
56	P48637	-0.252537861940377	0.252808599002633	GSS
57	A0A0A0MSE2	-0.015401094992412	0.776574272588553	HADH
58	H3BPK3	-0.222340103581857	0.589616055682022	HAGH
59	M0QXS5	0.00579324284343179	0.961300760046159	HNRNPL
60	P00738	0.673957912756837	0.0803029540370264	HP
61	P07900	0.148463215449962	0.238000139688268	HSP90AA1
62	P08238	0.131199658520976	0.263515770578283	HSP90AB1
63	Q58FF6	0.822844193894679	0.00898850893423467	HSP90AB4P
64	P14625	0.149594853385252	0.110360290392615	HSP90B1
65	P17066	0.0164351589819917	0.966286102299802	HSPA6
66	P11142	-0.146585600368603	0.278624003393335	HSPA8
67	P38646	-0.133914171779985	0.279070703373767	HSPA9
68	A0A087WZW8	0.362741208136628	0.53023250269823	A0A087WZW8
69	B3KQ30	-0.36609393578104	0.189205754131983	ISCU
70	P26012	0.31206943248182	0.19929336547551	ITGB8
71	A0A087WTP3	-0.219668609827914	0.359172846467784	KHSRP
72	A0A0A0MRV7	0.0262222315238178	0.943415665188136	RUBCNL
73	E9PHS0	-0.22724174666295	0.0750715445867002	LANCL1
74	C9J9W2	-0.205248965045021	0.399325083403139	LASP1
75	C9JPF8	-0.757252433907096	0.0138955429281289	MAP6D1
76	P10636	-0.289621972229288	0.171042583597249	MAPT
77	Q9NZL9	-0.174961391488664	0.601142013340479	MAT2B
78	A8MZH3	-0.739933802561147	0.026821645309773	MBP
79	Q9ULC4	-0.176965754125066	0.260028241973803	MCTS1
80	P40926	-0.908469488782784	0.00530790601232457	MDH2
81	F5H4R6	-0.0639409974296419	0.455977278744744	NAP1L1
82	O95182	-0.278406658394051	0.376632791467153	NDUFA7
83	O43181	-0.599477374935966	0.0410022181034647	NDUFS4
84	O43920	-0.624872504247552	0.0120728369430593	NDUFS5
85	E7EXA3	-0.105397669692275	0.643932495847429	NIF3L1
86	Q9UFN0	-0.312840673544154	0.226698330838909	NIPSNAP3A
87	Q9BS92	-0.420120421021244	0.793013521874815	NIPSNAP3B
88	Q9Y266	-0.175659824802085	0.297725516655273	NUDC
89	A0A087WTT1	-0.0652308300576471	0.512774916497114	PABPC1
90	Q13442	-0.642953503263381	0.0234221541069378	PDAP1
91	O75340	-0.393276410601818	0.141309804411274	PDCD6
92	Q9UBV8	-1.14036313166982	0.00156670928410432	PEF1
93	Q9GZP4	-0.0325243662184085	0.879134411413524	PITHD1
94	P14618	-0.187976978836949	0.253169081329574	PKM
95	Q8IV08	-0.282068674612986	0.0915514913312136	PLD3
96	P23284	0.314881695803803	0.649538695303317	PPIB
97	Q9Y3C6	0.147083333388899	0.424640661147244	PPIL1
98	H0YDU8	0.0184188556850148	0.660847405983254	PPP5C
99	O60256	0.0240653019037691	0.810276965199487	PRPSAP2
100	Q06124	-0.00298442780475458	0.913510238625758	PTPN11
101	O00194	0.320706413637841	0.12070663263579	RAB27B
102	P05386	-0.234758105741625	0.428750596668434	RPLP1
103	P25398	-0.0943551846248089	0.727348901035521	RPS12
104	Q99584	0.147141999268167	0.979527089866918	S100A13
105	P49591	-0.104082927513769	0.491035255785567	SARS
106	D6RFM5	-0.33237184523174	0.0940820902095874	SDHA
107	D6RER5	-0.126681572614221	0.209254283288475	SEPTIN11
108	Q9UJC5	0.144526347225864	0.762356024446538	SH3BGRL2
109	P04179	0.0438277801989179	1	SOD2
110	C9J0K6	0.0927131562493721	0.930990308940206	SRI
111	Q04837	-0.20220154875121	0.310815695895339	SSBP1
112	P31948	0.0712570557774131	0.934915904999543	STIP1
113	A2A2D0	-0.850143926370167	0.00772682529060785	STMN1
114	E5RGX5	-0.674938279917532	0.0161990817927181	STMN2
115	Q12846	0.304359966733126	0.0900749265100921	STX4
116	P17600	-0.296523716842664	0.0755761573916567	SYN1
117	A0A087WW96	-0.215069797505648	0.104831964359703	A0A087WW96
118	A0A0A0MSY7	0.000295946312279967	0.937340392943976	TK2
119	Q9NV96	0.222483470024952	0.254475166533931	TMEM30A
120	O43396	-0.292302684728213	0.342193027549132	TXNL1
121	Q15819	-0.480216240714179	0.270554335478472	UBE2V2
122	B7Z2R2	-0.481864868047833	0.434595535521638	UQCRB
123	H3BRG4	-0.578970411007564	0.00427918282190938	UQCRC2
124	Q709C8	-0.114201876145803	0.469107091325637	VPS13C
