ID	LogFC	Pvalue	Symbol
1	P01023	0.483472867710502	0.197577753053338	A2M
2	P49588	0.230295758510609	0.0243223130189863	AARS
3	P42765	0.445095838466395	0.0247049681787759	ACAA2
4	E9PE82	-0.235070094155524	0.391163897536716	ACADS
5	P49748	0.567112505077559	0.0358568311971729	ACADVL
6	E7EWD3	-0.449081401847611	0.0159470361694868	ADAM23
7	A0A087WX08	0.687729658782714	0.0347070791612224	A0A087WX08
8	P00568	0.991310463424446	0.000162090128207862	AK1
9	P13716	0.296817824558985	0.512441303173494	ALAD
10	Q13740	0.789950490262928	0.00101603086640712	ALCAM
11	O75891	0.515482865225229	0.00919132155168779	ALDH1L1
12	P04083	2.33681666009803	0.00406824668841011	ANXA1
13	P07355	1.70195126565511	0.00885554910084523	ANXA2
14	P08758	0.905090778690683	0.0277190538960771	ANXA5
15	P36405	0.592801974617596	0.00872631429904267	ARL3
16	E7EMM4	0.897084770341421	0.00047272904914782	ASAH1
17	P31939	0.542626314770655	0.0381053459478712	ATIC
18	P05026	-0.479029424670937	0.00210274668527682	ATP1B1
19	Q15904	-0.508763304539513	0.0148563680267754	ATP6AP1
20	P21281	-0.245325751566386	0.121345342584488	ATP6V1B2
21	O95817	0.807717237165933	0.289104681743774	BAG3
22	Q92843	0.209862528502699	0.384183288204758	BCL2L2
23	O00499	-0.313196881043391	0.102947427269331	BIN1
24	P30043	2.02225432036481	0.00756476103155314	BLVRB
25	F5GXS0	1.64656299602104	0.0045272333327283	C4B
26	Q8N3J6	-0.40741408931172	0.0125947507126444	CADM2
27	Q8N126	-0.298710654574402	0.0772120380297635	CADM3
28	Q9UQM7	-0.493066523627802	0.0129165275995862	CAMK2A
29	P27824	0.431795335488574	0.000110778611831795	CANX
30	Q01518	0.212829385371807	0.121712840046314	CAP1
31	P17655	0.717721956942008	0.00872537965295187	CAPN2
32	P47755	-0.0855825531673764	0.33990567972372	CAPZA2
33	A5YM72	0.853274428667731	0.0247480664755656	CARNS1
34	O14936	0.291510519154316	0.27201947461406	CASK
35	P16152	1.62750921958156	0.00872946161972324	CBR1
36	Q96JG6	1.30962259373625	0.336408437128478	VPS50
37	J3KNF4	0.659438704874298	0.0283859170129506	CCS
