ID	LogFC	Pvalue	Symbol
1	Q2M2I8	-0.888979887535544	0.0291341390653933	AAK1
2	Q8N2K0	-0.784208856249234	0.00279652898247564	ABHD12
3	A0A0A0MR40	-0.833801154718332	0.000692335162950573	A0A0A0MR40
4	B7Z9I1	0.167625897582625	0.217713903135576	ACADM
5	A0A087X1T7	0.834347291586183	0.0186082712312066	ACAN
6	P61160	-0.311549364463121	0.0241445041774231	ACTR2
7	Q9P1U1	-0.604909500029969	0.00275342780133747	ACTR3B
8	O75689	-0.0124531245069352	0.901882959723982	ADAP1
9	Q96P47	-0.149676521981614	0.266105815434915	AGAP3
10	E9PC15	-0.377459384129363	0.0329480514515354	AGK
11	A8MU58	-0.604177442744496	0.0481583858412667	AIMP2
12	Q9HDC9	-0.131759398077542	0.0857036514339364	APMAP
13	P02649	-0.509573163203834	0.0645762417654207	APOE
14	F8VWH9	-0.65957406612593	0.0145664848635822	ARFGAP1
15	A0A087X1E4	-0.487467907566307	0.0346757345701434	ARFIP2
16	Q07960	-0.152732372690789	0.238838516246697	ARHGAP1
17	A0A087WUW9	-0.306812929873212	0.0831450005455223	ARL15
18	A0A087WXS7	-0.0560231921535501	0.458380729925975	ASNA1
19	P00966	0.19203875473811	0.711001076610047	ASS1
20	Q8NBU5	-0.791818439867666	0.0577510471018995	ATAD1
21	C9JIK8	-0.0862332792649235	0.687843982323514	ATG4B
22	P14415	-0.37026590713123	0.0920936252787551	ATP1B2
23	P25705	-0.076355868498525	0.522520884742451	ATP5F1A
24	F5GYQ1	-0.470729814685118	0.0129353773154609	ATP6V0D1
25	Q8N8Y2	-0.622803745017777	0.00342178913176425	ATP6V0D2
26	P21283	-0.326961114955137	0.0271973437981376	ATP6V1C1
27	Q9UI12	-0.485352948886347	0.00948771910097057	ATP6V1H
28	O43505	-1.02233456453174	0.00926446936603467	B4GAT1
29	F5H5P2	0.0344877402378633	0.757257985983409	F5H5P2
30	E9PCG9	-0.809237590060338	0.00344929934342935	BDH1
31	A0A087WUV8	-0.344339060548146	0.0494614377597011	BSG
32	O14523	-0.753599720048142	0.0013514209757763	C2CD2L
33	Q8TF44	-0.937411457576152	0.0178655119306576	C2CD4C
34	Q9Y376	-0.367209137255068	0.0824553655745306	CAB39
35	Q9H9S4	-0.2814982569869	0.257063036488793	CAB39L
36	Q14012	-0.278549847239157	0.205085773867018	CAMK1
37	Q8IU85	-0.643974413241188	0.000552033525904235	CAMK1D
38	Q13554	-0.281908599048155	0.0270161037140623	CAMK2B
39	D6R938	-0.662695876722697	0.00230646604332487	CAMK2D
