ID	LogFC	Pvalue	Symbol
1	P05091	0.344054389687737	0.0734711330645575	ALDH2
2	Q02252	0.0120367602006165	0.718261973321236	ALDH6A1
3	P49419	0.0867585537450775	0.900188599720354	ALDH7A1
4	P49189	0.480567913256254	0.0670672111381038	ALDH9A1
5	M0QYZ2	-0.178274633635085	0.0390144014872178	AP2S1
6	P49407	0.63768285566407	0.285587641734609	ARRB1
7	Q8NCB2	-0.0398081928424057	0.672495654495629	CAMKV
8	Q53HC0	-0.335384586720181	0.165853512366205	CCDC92
9	O95741	0.24957221479838	0.236431999297578	CPNE6
10	P46108	0.510598727079006	0.0588783438567011	CRK
11	M0QX46	-0.332916826244882	0.139378960244456	CRTC1
12	O94760	0.00735089215798939	0.999583381492596	DDAH1
13	Q9NP97	-0.0427213478310079	0.790946605488011	DYNLRB1
14	E7EUU4	-0.391266683005937	0.11987599867563	EIF4G1
15	P06733	0.51232525411388	0.272479062263962	ENO1
16	Q9UBQ7	0.281029708157201	0.758637350930892	GRHPR
17	Q9Y5Z4	1.37117579927011	0.177597478208562	HEBP2
18	Q99714	0.565760429884848	0.191642216843074	HSD17B10
19	P08107	0.180739063365069	0.176660815629419	P08107
20	P11021	0.192681559674611	0.207644049705067	HSPA5
21	P28838	0.599021007648197	0.901536627182946	LAP3
22	Q66K74	-0.0169404522083973	0.953234055215087	MAP1S
23	Q4G0N4	0.398493094947895	0.543538782073934	NADK2
24	P22234	0.0524732042770274	0.804127057491181	PAICS
25	P52209	0.496304377162185	0.0569363160588224	PGD
26	Q86UU1	0.727460547456471	0.0644499980526341	PHLDB1
27	G3V2G6	-0.117530727969987	0.392624326230198	RDH11
28	Q9H936	-0.1211516031665	0.384816999523351	SLC25A22
29	P29401	0.652349725836008	0.102291809562181	TKT
30	O00401	0.109211834370447	0.54735621941779	WASL
