ID	LogFC	Pvalue	Symbol
1	Q9H845	0.282078601955056	0.271976219222241	ACAD9
2	O43707	0.156446901961815	0.584932883389611	ACTN4
3	E7ENY0	0.06898957675364	0.50453513843827	ADD1
4	A0A087X208	0.343097425691033	0.65255987619911	AGRN
5	Q09666	1.1500951082985	0.277653685231146	AHNAK
6	P27144	0.26162483023178	0.12726816976161	AK4
7	P16157	0.0266974509605409	0.933831862913465	ANK1
8	Q01484	-0.00348216960457126	0.79249174337988	ANK2
9	Q9P2R3	0.387623693217567	0.463691818531988	ANKFY1
10	A0A0A0MRG2	0.153380728944004	0.672801995027548	APP
11	Q8NEU8	0.774815601864769	0.0404361056555604	APPL2
12	P55087	1.08926045183039	0.245874643933853	AQP4
13	B1AKY9	-0.237291645647663	0.283755198487323	ATP1A2
14	Q16864	-0.0507938715250789	0.724815489535013	ATP6V1F
15	O95670	-0.210348166045443	0.486122924589846	ATP6V1G2
16	P80723	0.686963270210962	0.437297036562335	BASP1
17	C9IZ80	0.602474485001115	0.00582567085752567	BZW1
18	Q12860	0.155527155823929	0.0550749326581338	CNTN1
19	P08572	0.272944334587147	0.70194033994373	COL4A2
20	A0A087X0S5	1.03240243437865	0.116303856994607	COL6A1
21	E7ENL6	0.701732574475208	0.768277467341594	COL6A3
22	P53621	0.00791155433333842	0.924521927951419	COPA
23	P53618	-0.235071885945511	0.31196440657502	COPB1
24	Q9Y678	0.0809453579008422	0.621666557252958	COPG1
25	P26232	0.304872375903828	0.0347101809819659	CTNNA2
26	P35222	0.188997896041148	0.49706295754859	CTNNB1
27	Q9UQB3	0.148342389153007	0.448580624746026	CTNND2
28	P14868	0.404755309861816	0.0697756636527287	DARS
29	G5E9L9	0.249549456898787	0.170474942773721	DCLK2
30	Q92499	-0.10315984549575	0.479559795907792	DDX1
31	Q13838	0.140011699473465	0.514357539103023	DDX39B
32	Q08211	0.327518085359619	0.0539068953009124	DHX9
33	P36957	-0.465507692137772	0.018455647082128	DLST
34	P15924	1.3537396520341	0.0733181053312677	DSP
35	E9PEB9	0.297214382749205	0.638087240572832	E9PEB9
36	Q14204	-0.00609293342097124	0.929076363317758	DYNC1H1
37	P13639	0.133997379895891	0.223793310672514	EEF2
38	Q15029	0.273342911374109	0.24056539655706	EFTUD2
39	P19525	-0.0146175890101324	0.891179795468988	EIF2AK2
40	P05198	0.248275649505139	0.121726462334253	EIF2S1
41	Q14152	0.390703695205308	0.0887365780976007	EIF3A
42	P55884	0.419049451522462	0.100738709713575	EIF3B
43	P07814	-0.0276808937636746	0.719004758829988	EPRS
44	E5RHW4	0.616857848360108	0.00549121837377813	ERLIN2
45	B7Z7P8	0.415613076977042	0.0682557017948141	ETF1
46	Q16134	0.107825920192077	0.607203141360168	ETFDH
47	P05413	0.499731510930249	0.392760470373341	FABP3
48	C9JME2	0.446850516100313	0.667879296780885	FARP1
49	P49327	0.236991648804317	0.639585543544569	FASN
50	P21333	1.27817862156192	0.0638337127295997	FLNA
51	Q9H479	-0.21283684335951	0.347546748288742	FN3K
52	P06241	0.323912404495797	0.119079950961423	FYN
53	Q99259	-0.019014117290748	0.848336555355892	GAD1
54	Q04446	0.0525560861622965	0.691072717092478	GBE1
55	P35052	0.0413830148560428	0.772303653474381	GPC1
56	O60883	0.618602916103712	0.302556401190696	GPR37L1
57	Q86UW8	0.208165268668528	0.170396053255677	HAPLN4
58	E9PCY7	0.179632839648302	0.0899104586704475	HNRNPH1
59	Q00839	0.101306936091345	0.526196433315392	HNRNPU
60	H0Y8C6	0.151993360601825	0.220606515670512	IPO5
61	P46940	1.0175885949497	0.121348195278191	IQGAP1
62	Q9BUE6	0.0364892636953495	0.936650944720708	ISCA1
63	Q12756	-0.0658834173464877	0.575239150499753	KIF1A
64	P33176	0.434825276348159	0.126383248778568	KIF5B
65	Q76NI1	0.0549806524297797	0.880096086286169	KNDC1
66	Q86UP2	0.435681647712801	0.113070027163128	KTN1
67	P55268	0.478064056549947	0.384515472836152	LAMB2
68	P11047	0.588326609524819	0.751593829961158	LAMC1
69	Q07954	-0.0255855442245371	0.658697763987795	LRP1
70	Q5VWZ2	0.949360364751284	0.162576482556932	LYPLAL1
71	Q9UPN3	0.232850043653681	0.720534979186154	MACF1
72	P20916	-0.580140058385564	0.0352261152293782	MAG
73	Q969Z3	0.0192297765248354	0.555776780364923	MARC2
74	O95140	0.0244404110639787	0.717556114160871	MFN2
75	Q96EY8	-0.385882064394266	0.0502833427202386	MMAB
76	Q96T76	0.0100859053925276	0.93337601995218	MMS19
