ID	LogFC	Pvalue	Symbol
1	Q8N6N7	0.288001886473071	0.744541695517381	ACBD7
2	P30038	0.026991860700423	0.921752407345443	ALDH4A1
3	H0Y360	0.103982502389168	0.646576439555054	AMPD2
4	P07741	1.10839757162524	0.0223703031310322	APRT
5	J3KRE2	1.59275970946484	0.0205188021570427	ARHGDIA
6	Q9UBB4	-0.245654376227037	0.253275138644556	ATXN10
7	M0R1T5	-0.0359992234630898	0.926102298166689	CHMP2A
8	Q9Y394	-0.112415679131685	0.457801980535521	DHRS7
9	Q9Y295	0.348965446097333	0.431508988880464	DRG1
10	O00303	-0.0293613616891255	0.817051419658897	EIF3F
11	P62942	-0.0173342094167516	0.651239945278796	FKBP1A
12	P26885	0.461165649099074	0.192252236139321	FKBP2
13	Q16658	0.279235811699924	0.218248420545769	FSCN1
14	Q04760	0.632347949178378	0.144017326700364	GLO1
15	D6RC06	0.176781532726595	0.949985776760758	HINT1
16	Q53GQ0	0.0027257482851743	0.848754590788491	HSD17B12
17	P42858	0.317144602048663	0.887830276815078	HTT
18	J3KR24	-0.384618383197597	0.0255472610142065	IARS
19	A0A0A0MT83	-0.0128912714618067	0.970554796112477	IVD
20	Q15046	-0.210197315037285	0.123410211010045	KARS
21	Q07666	0.0387297469208316	0.819618887046103	KHDRBS1
22	Q9P2J5	-0.440218618138542	0.101304738076775	LARS
23	Q3ZCW2	0.294092299118428	0.588301574610553	LGALSL
24	A0A087WUT0	0.0731857903716763	0.963846946954672	MYEF2
25	A0A0A0MS87	-0.367404806736196	0.00556492383746689	NDRG2
26	Q15233	-0.0108077459473959	0.875942114269099	NONO
27	O95989	0.544605342095925	0.0622264710309627	NUDT3
28	P55809	0.393473538478703	0.0303916877531673	OXCT1
29	P68402	0.63445768619624	0.111055133560694	PAFAH1B2
30	Q96GD0	-0.050276129108092	0.797214917362886	PDXP
31	P07737	0.603992896832972	0.116469856677792	PFN1
32	C9J0J7	0.0671203030584847	0.645659360225921	PFN2
33	P18669	1.014782393933	0.0454405612100586	PGAM1
34	P00558	0.335607219545947	0.455157517590212	PGK1
35	Q15181	0.262552966679301	0.831222207664132	PPA1
36	P62937	1.0751449515616	0.0568629038088477	PPIA
37	P30044	1.17343008142039	0.000973049150889239	PRDX5
38	P48147	0.602285581454985	0.0263717167036311	PREP
39	P62191	-0.0764897732185973	0.687368349831879	PSMC1
40	Q13200	-0.160616926693341	0.0763231232108877	PSMD2
41	P54136	-0.310576604405378	0.156411844469041	RARS
42	A0A0A0MQT0	1.40664307771619	0.00396752233354421	RBP1
43	D6RAT0	0.020208571819707	0.872383946511719	RPS3A
44	Q12765	0.230458454183928	0.165569608636721	SCRN1
45	Q8TD22	-0.00458065593030852	0.94893516804863	SFXN5
46	P05455	-0.133968045355876	0.518459834271008	SSB
47	G5E972	-0.40713486808681	0.0605137078265164	TMPO
48	P60174	0.295886823369673	0.421203589199624	TPI1
49	P61086	0.785609383487523	0.0922545659884217	UBE2K
