ID	LogFC	Pvalue	Symbol
1	Q9UIJ7	0.430858053533897	0.172134580309482	AK3
2	Q9BUT1	0.571556526960242	0.675064874937908	BDH2
3	P07858	-0.092713139282543	0.277846723664471	CTSB
4	Q9NTX5	0.510635699270917	0.207952547675748	ECHDC1
5	O75955	-0.0845946086736315	0.475251955323401	FLOT1
6	E7EMK3	-0.270119725304805	0.136116859241301	FLOT2
7	Q92522	0.500804865652714	0.261482455855721	H1FX
8	Q92506	0.397813666117056	0.507755401990046	HSD17B8
9	Q9UHA4	0.31329802732926	0.854964177042924	LAMTOR3
10	P09382	0.283459461967755	0.52496240635518	LGALS1
11	P61457	0.640733351970281	0.327588191835362	PCBD1
12	Q9NVS9	0.634055902546499	0.941717259824794	PNPO
13	Q06830	0.617044261893199	0.104562812712004	PRDX1
14	P09417	0.174744732557249	0.852318125555771	QDPR
15	P30050	0.367082208936914	0.0962316250533478	RPL12
16	A0A087X020	0.271011645448329	0.257211485463262	SBDS
17	O75368	0.574604370665554	0.671635626873885	SH3BGRL
18	O14745	-0.154645265843575	0.32518229544557	SLC9A3R1
