ID	LogFC	Pvalue	Symbol
1	Q12979	-0.0640794962132281	0.683092621366803	ABR
2	P23526	0.258058441076017	0.69595111315127	AHCY
3	J3KPS3	0.00891322365206561	0.676214112879161	ALDOA
4	A8MVZ9	0.166587448239894	0.942115159265649	ALDOC
5	Q86WA6	-0.0149482167916543	0.901108207329692	BPHL
6	P42126	-0.23887333486995	0.3627735153357	ECI1
7	Q96C19	-0.0976924536832522	0.407206180945121	EFHD2
8	P78344	0.233650447323159	0.390268922773573	EIF4G2
9	Q9Y2T3	0.14477445333362	0.809633197280481	GDA
10	P04899	0.0393101558682285	0.795576282421252	GNAI2
11	A0A087WUQ6	0.051228668490737	0.929897875157653	GPX1
12	K7ER15	0.385431294027491	0.243763895036244	HDHD2
13	P00492	-0.231415890358644	0.470270463370973	HPRT1
14	B8ZZL8	-0.315779302196551	0.191321427410873	HSPE1
15	H7C5G1	0.00545804575676706	0.826441573597264	IAH1
16	K7ELW0	-0.00858151877856563	0.929231334267226	PARK7
17	P30086	0.27824318863896	0.622660519325189	PEBP1
18	P32119	0.206257459420367	0.931162684537832	PRDX2
19	O94903	0.0622764370375621	0.910212566087849	PLPBP
20	P54727	0.335970893415906	0.346930473412455	RAD23B
21	Q13596	0.0225782396923726	0.902930428900025	SNX1
22	A0A087WUY5	0.0362848770291491	0.910892997512527	SNX5
23	F2Z393	0.312444228310951	0.378608598300046	TALDO1
24	P02787	-0.151347712900081	0.328084275240519	TF
25	P10599	0.335688027080721	0.753482205229829	TXN
