ID	LogFC	Pvalue	Symbol
1	P35573	-0.0853240307088371	0.530146243383713	AGL
2	G3V1C3	0.29111474300673	0.37291666707943	API5
3	C9JF17	0.699360765835423	0.0242971015085474	APOD
4	C9JAK5	0.433085445791158	0.00107884347910121	ARF4
5	O15511	0.201694836187788	0.160463965245204	ARPC5
6	P51572	0.0190117790821698	0.860446396257155	BCAP31
7	A0A087X082	0.105274999040241	0.643462105809599	A0A087X082
8	E7ENZ3	-0.104564689660205	0.292477909735828	CCT5
9	A6NMH8	0.384985401435693	0.0198728550252698	CD81
10	Q8N5K1	0.349174911527932	0.0291683595999768	CISD2
11	F8VVA7	0.292202134838381	0.132575865948976	COPZ1
12	Q14247	-0.109605270094513	0.421917258576209	CTTN
13	P00387	0.29884137231746	0.149181120860532	CYB5R3
14	Q9H1C7	0.204592111358959	0.479227554695437	CYSTM1
15	A0A0A0MRV8	-0.0183170255434204	0.861736814238566	DCTN3
16	A0A024RBT2	0.0242884638993258	0.827612672854324	DIABLO
17	E9PRY8	0.0883756795079724	0.399291228236436	EEF1D
18	P07954	-0.434702357731077	0.0196937933629272	FH
19	Q9BWH2	0.123253809634482	0.489244525771671	FUNDC2
20	C9IZ01	0.820454351027584	0.0247754848546697	GFM1
21	P48735	-0.300602378360303	0.00227182717364023	IDH2
22	P50213	-0.599199799613956	0.000348540677487424	IDH3A
23	A0A087WZN1	-0.547740874406414	1.82180261574838e-06	IDH3B
24	O00629	0.400323690568534	0.166611506972398	KPNA4
25	Q6IAA8	0.246790407877416	0.0926060796597386	LAMTOR1
26	Q8N1G4	-0.0324093217846127	0.839060487139395	LRRC47
27	J3KTI2	0.254027285522021	0.254823614459728	MIEN1
28	O14807	-0.118975702017613	0.315103230206603	MRAS
29	P22033	0.412192477642727	0.333212843165014	MMUT
30	B7Z6Z4	0.119997822972371	0.292202761940988	MYL6
31	B1AHD1	0.164037752991328	0.446850760736557	SNU13
32	Q13232	0.221374464782677	0.140114212033813	NME3
33	P04181	0.00653244316707299	0.966788732626639	OAT
34	J3KQ32	-0.129929313611238	0.654238052315712	OLA1
35	E5KLJ5	0.206120583495691	0.848037682989073	E5KLJ5
36	Q9BUL8	-0.122551004562285	0.335328553867625	PDCD10
37	O15173	0.0808657340575217	0.51627103888521	PGRMC2
38	Q9HBL7	0.506553135376898	0.0632098512707204	PLGRKT
39	O75475	0.36530672483952	0.204433246879244	PSIP1
40	K7EJR3	0.0793055693314372	0.342073133673571	PSMD8
41	Q93096	-0.0452154115493946	0.855677564654264	PTP4A1
42	Q8WUK0	-0.127123760604463	0.627628560861115	PTPMT1
43	Q15907	0.224054966667477	0.000467118614213511	RAB11B
44	Q9NP72	0.298745901636161	0.0180804542602532	RAB18
45	P51149	0.299478146357981	0.000118213212264722	RAB7A
46	P61224	0.0983339828483897	0.199253700002118	RAP1B
47	Q96HR9	0.0628527524266593	0.738620918646825	REEP6
48	P84095	0.0843572356167596	0.496573401214901	RHOG
49	P62906	0.00403845594493058	0.995859457132516	RPL10A
50	P62913	0.0881405885568909	0.35254999995762	RPL11
51	P26373	0.289970772263151	0.128613035237074	RPL13
52	P40429	0.0110432860752028	0.823666343258766	RPL13A
53	E7EPB3	0.27049968800991	0.145674383736978	RPL14
54	F8VUA6	0.178650925040221	0.317486571865891	RPL18
55	K7EJT5	0.234681847278252	0.0442947061547487	RPL22
56	A8MUS3	-0.0985572086011545	0.401195747827923	RPL23A
57	C9JNW5	0.209925112620447	0.303990571533819	RPL24
58	K7ELC7	0.133585173300584	0.154374036995809	RPL27
59	P62899	0.234841202934669	0.162303912943162	RPL31
60	F2Z388	0.967671090049324	0.00640191505565677	RPL35
61	C9K025	0.356973800736309	0.0188007744895491	RPL35A
62	Q9Y3U8	0.729658864087674	0.0255035680173279	RPL36
63	P36578	-0.280115450358	0.348918940241297	RPL4
64	P18124	0.145263974982384	0.289893911218843	RPL7
65	P62424	0.232417611532166	0.143013798473859	RPL7A
66	E9PKZ0	0.34191768741072	0.0686917089030419	RPL8
67	P32969	0.171473673073379	0.12653975388108	RPL9
68	P05387	0.128668806008176	0.464287168029908	RPLP2
69	P62277	0.538259575927399	0.0107587286884657	RPS13
70	P62263	0.0838205240102271	0.430501200417738	RPS14
71	P62244	0.0897292380830809	0.516744347544055	RPS15A
72	M0R210	0.212535223258863	0.0693149999168754	RPS16
73	P62269	0.16477634186632	0.0760704200101478	RPS18
74	P39019	0.0106485292588152	0.904074810908627	RPS19
75	E9PQD7	0.330584026832251	0.0326804960904785	RPS2
76	P23396	0.0422696255629898	0.801744649029308	RPS3
77	P62701	0.208176294665646	0.061147557150972	RPS4X
78	P62753	0.0573756604471787	0.629746938554036	RPS6
79	P62081	-0.0786357929609844	0.613096579563981	RPS7
80	P62241	0.0823065938930672	0.426598878833879	RPS8
81	P46781	0.227274767480386	0.13751613803912	RPS9
82	P04271	1.08323619471213	0.0176981140466405	S100B
83	Q9NR31	0.131104288980325	0.127169511506641	SAR1A
84	O75396	-0.0418512253271109	0.697690738251227	SEC22B
85	P60468	0.165314323821626	0.437338349769968	SEC61B
86	E7EPK1	-0.210261209480531	0.0105619369230085	SEPTIN7
87	E5RJR5	-0.00787197108262759	0.859285944883336	SKP1
88	P53007	0.610138221679537	0.00390401298182471	SLC25A1
89	J3QLI9	0.46422375012284	0.00818341216940604	SNRPD1
