ID	LogFC	Pvalue	Symbol
1	Q9NRN7	-0.1543977322493	0.472623341431147	AASDHPPT
2	P62736	-0.240017903474446	0.144408603957645	ACTA2
3	P60709	-0.127046551585974	0.317288807812238	ACTB
4	Q562R1	-0.29555301306533	0.0930623318357567	ACTBL2
5	I3L1U9	-2.20206689492818	0.197629665378424	ACTG1
6	P42025	-0.516715606654523	0.0620710991744704	ACTR1B
7	B4DXW1	-0.204864405820522	0.390343613551403	ACTR3
8	P35612	-0.304468498639742	0.0713492657502116	ADD2
9	O95831	-0.0417303385274075	0.875808025559114	AIFM1
10	Q02952	-0.150243198394143	0.405108200491052	AKAP12
11	Q8N6D5	-0.855267170778924	0.0321482856317222	ANKRD29
12	E5RJ52	-0.221383108829175	0.261190053416789	AP3M2
13	P02647	0.260939666900798	0.369674118913462	APOA1
14	Q96BM9	-0.159161428556137	0.648254300112898	ARL8A
15	P23634	-0.208461539822264	0.434549616901683	ATP2B4
16	Q99766	-0.124495797848398	0.507549160922369	DMAC2L
17	A8MRA7	-0.330898319396724	0.120028318701906	ATPAF1
18	Q5H9B9	0.0649855807272343	0.425450491462627	BMP2KL
19	Q9Y224	-0.337118071206994	0.220201010827151	RTRAF
20	Q9BSF4	-0.502895473401553	0.0304837332910494	TIMM29
21	P04632	-0.114162695103505	0.363742495512398	CAPNS1
22	B1AK87	-0.140719530150764	0.517248453197939	CAPZB
23	Q16204	-0.22225380100573	0.36172129551626	CCDC6
24	Q99832	0.0346894359642383	0.669181719614122	CCT7
25	E9PNW4	-1.66769762828901	0.616833929742569	E9PNW4
26	F8VNT9	0.180781415532558	0.303342872999634	CD63
27	P27701	0.286457979721766	0.339203473269722	CD82
28	P60953	0.0519536097252666	0.658337170788701	CDC42
29	P12277	-0.145208292823862	0.62430253275677	CKB
30	H0YFA4	-0.0875019362378287	0.609988599122958	CRIP2
31	Q13616	-0.229304262260335	0.510802240764733	CUL1
32	A0A0A0MTN0	-0.550267605041171	0.10211474899953	CUL2
33	Q9UJW0	0.00476232366686537	0.987726160014586	DCTN4
34	O95057	-0.285123052967028	0.113732824493657	DIRAS1
35	P60981	-0.101402939812214	0.689469474432965	DSTN
36	P55010	0.115701847798236	0.167798568156574	EIF5
37	Q9Y6X5	-0.200821884216538	0.485055120532571	ENPP4
38	D6REL6	-0.0852519942482584	0.780086543983987	EPN3
39	Q8N461	-0.454137364899039	0.0135909254625983	FBXL16
40	Q9UK22	-0.0426595018022419	0.991449787847635	FBXO2
41	A0A0A0MSI6	-0.237393654746268	0.556489652375104	FBXO44
42	Q9H0Q3	-0.377284272866355	0.0811950536399516	FXYD6
43	H0UIB3	-0.347192379980699	0.204804231073346	GDAP1L1
44	P15104	-1.23498770326069	0.108655268930638	GLUL
45	P62873	-0.598326723197582	0.176639432690374	GNB1
46	P62879	-0.11005272166761	0.327489383730387	GNB2
47	O14775	-0.320095996041565	0.743615645445085	GNB5
48	P51674	-0.31289082975234	0.144864864952304	GPM6A
49	A0A087WT12	-0.00691144601902191	0.921404232284779	GPX4
50	Q9HAV7	0.0786074858573818	0.735162602993205	Q9HAV7
51	E9PCN2	0.10648019609572	0.383064155500462	GUCY1B1
52	P10915	-0.112363792884131	0.871905083919757	HAPLN1
53	P12081	-0.101448701560863	0.635553083331029	HARS
54	P69905	0.176718947814863	0.465791956321318	HBA1;
55	P09429	-0.181939410414713	0.545643753508438	HMGB1
56	P22626	-0.00199312422153632	0.979889914345221	HNRNPA2B1
57	P31942	0.126523235324001	0.26472197754817	HNRNPH3
58	Q9UM19	-0.0907459832722033	0.612042169410642	HPCAL4
59	Q58FF8	-0.0929913793173994	0.545832257032528	HSP90AB2P
60	Q5JX83	-0.275414521844608	0.143692848894827	HSPA12B
61	P06756	0.309199810949185	0.0424886763338018	ITGAV
62	Q15811	0.031960690515558	0.988904355008669	ITSN1
63	Q96CX2	0.201347964706346	0.0659822197481975	KCTD12
64	Q7Z4S6	-0.402640934224419	0.0521550713517562	KIF21A
65	C9JVN9	-0.138342185352215	0.638486832645565	L2HGDH
66	A0A087WYG6	-1.55637136342855	0.602206766585278	LYNX1
67	Q9BQ69	0.0196908366879951	0.95832564645646	MACROD1
68	P21397	0.134389316588067	0.328670263090444	MAOA
69	Q8TD08	-1.45495467944711	0.298000844155754	MAPK15
70	P10620	0.397626364019462	0.83709858969509	MGST1
71	P14174	-1.42158452768891	0.604462418720763	MIF
72	O95563	0.0335033465306343	0.802411410587149	MPC2
73	C9JNK6	-0.461601302096739	0.294513894828579	MTX2
74	B5ME49	-0.217659440622073	0.339330545263093	B5ME49
75	C9JZI7	0.109933666131193	0.348269152581056	NAP1L4
76	Q9UBB6	-0.0803441970498995	0.383087340542059	NCDN
77	P51970	-0.609804180291791	0.0478366160734185	NDUFA8
78	Q86X76	-0.198655173158618	0.251774052506973	NIT1
79	P15531	0.0755302753862676	0.387768332911252	NME1
80	A0A0A0MS47	-0.468766098277273	0.682488651276115	OPALIN
81	Q15084	0.124079712749177	0.31348939139384	PDIA6
82	O75145	-0.143539513035529	0.682405997702234	PPFIA3
83	Q9H2H8	0.171494405630216	0.823856396961321	PPIL3
84	P62136	-0.28180497514791	0.126908621157803	PPP1CA
85	F8VYE8	0.0617016506249569	0.799507149092945	PPP1CC
86	A0A087WVC4	0.0626206544116231	0.520257193852591	PRKACB
87	P10644	0.22329107355406	0.0948957269063265	PRKAR1A
88	A2A2V1	-0.0887701900158741	0.45423876193768	PRNP
89	B1AVU8	-0.422434155540272	0.630824892482369	B1AVU8
90	P28074	0.131449268909266	0.304067119873438	PSMB5
91	E9PM69	-0.209440020746329	0.193672781470194	PSMC3
92	Q15008	-0.656656620365195	0.0466988963402692	PSMD6
93	A0A087WYT3	-0.012046401105412	0.625543811956255	PTGES3
94	P20336	-0.193141655752451	0.396511961994572	RAB3A
95	O95716	-0.146343320291093	0.539921227674266	RAB3D
96	Q9H2M9	-0.547022266667875	0.0618231547072634	RAB3GAP2
97	P51151	-0.0239255335452192	0.843668895021615	RAB9A
98	P63000	-0.168041512250558	0.297046431947413	RAC1
99	Q9Y4G8	-0.475614297688759	0.115711354348408	RAPGEF2
100	P61586	-0.809634835890531	0.417652020418783	RHOA
101	P62745	-1.38555839980455	0.627037793967531	RHOB
102	O75116	-0.551040083676952	0.144864373874486	ROCK2
103	M0R117	-0.235881758116177	0.358029671135194	RPL18A
104	E5RI99	-0.373247402782199	0.523520818067349	RPL30
105	P62280	-0.2961140024242	0.619243912971759	RPS11
106	A0A087WUS0	-0.288690964025134	0.353597768008644	RPS24
107	M0QZN2	-0.0112342770243995	0.899603076482828	RPS5
108	O00442	-0.0811790937788577	0.578831835982858	RTCA
109	Q16799	-0.440524737763979	0.0230277621156722	RTN1
110	O43236	-0.681136121982234	0.00323569501509598	SEPTIN4
111	Q9UHD8	0.25404786671909	0.0152798228135303	SEPTIN9
112	E7EMB1	-0.146561042245083	0.179097132807598	SWAP70
113	O14994	-0.778874634023769	0.0162948446029072	SYN3
114	Q9UL54	-0.680718213412273	0.164550956313403	TAOK2
115	E9PKT1	0.016042525669584	0.691922456925868	TIAM2
116	C9J2C0	-0.566916361769459	0.0533409495270951	TUBA8
117	Q9BTM9	-0.374797225384163	0.204389816091382	URM1
118	Q93009	-0.615633249329486	0.076562981200277	USP7
119	Q93008	-0.149575909321359	0.459531090764302	USP9X
120	O75436	-0.0321339835490702	0.816537627079367	VPS26A
121	Q9NRW7	0.218792144548506	0.212431090783254	VPS45
