ID	LogFC	Pvalue	Symbol
1	Q9NUB1	1.03925763844691	0.136496294925348	ACSS1
2	P61163	-0.252385907900113	0.0509898077138826	ACTR1A
3	P14550	1.28862950098796	0.0012673130701856	AKR1A1
4	H0YI37	-0.240874520185215	0.0926414822416172	ATP5F1B
5	P30049	-0.253838534101027	0.279651962292222	ATP5F1D
6	P56385	-0.628496330432399	0.0231288127327396	ATP5ME
7	P48047	-0.341458041486825	0.0597364968934029	ATP5PO
8	P36543	-0.369901405051006	0.0358769644301927	ATP6V1E1
9	Q96GW7	0.304208716316037	0.00765959934317328	BCAN
10	P27797	0.26193477749408	0.106814243847986	CALR
11	P78371	-0.324326371640295	0.00805651436782231	CCT2
12	P50990	-0.0400832379590238	0.532199303532857	CCT8
13	P12532	-0.455592126201223	0.0709211264444114	CKMT1A
14	A0A0A6YYI4	-0.236392834384691	0.316184933746436	A0A0A6YYI4
15	A0A0A0MRX1	-0.575276135039747	0.00232835884496336	ELAVL2
16	B1APY8	-0.69345974134343	0.00046669129177178	ELAVL4
17	Q9Y285	-0.349039243546303	0.0503207688153915	FARSA
18	Q9NSD9	-0.34061449140992	8.20293807394472e-05	FARSB
19	Q9UN86	-0.473324783743685	0.0789993881299815	G3BP2
20	P43304	0.158498849933483	0.0523906366005216	GPD2
21	H0Y8G5	-0.233798655875587	0.000427079854625832	HNRNPD
22	P84074	-0.246867476664045	0.125386513556331	HPCA
23	P37235	-0.55254089029698	0.00397730071240109	HPCAL1
24	B4DY09	-0.0395656107261538	0.863355178772039	ILF2
25	P01116	-0.40064116338388	0.000473529612046524	KRAS
26	Q96JE9	-0.599783970632368	0.00328825753213102	MAP6
27	G5E9X5	0.349540055069443	0.121057079536559	MCCC1
28	P61601	-0.951231003845467	0.000325474069108658	NCALD
29	O14594	0.150314188841122	0.18598393664374	NCAN
30	P62166	-0.476283680655161	0.0159877063528282	NCS1
31	O43678	-0.620195783979273	0.00135550993485728	NDUFA2
32	E7EPT4	-0.702566669790007	0.0028405634226274	NDUFV2
33	Q9UNW9	-0.306506312745311	0.0735443965495048	NOVA2
34	E9PLK3	0.377944247608926	0.0305582823513546	NPEPPS
35	Q15366	-0.274943988147127	0.0590125958422307	PCBP2
36	P62140	-0.278582826062696	0.00314193779898484	PPP1CB
37	P67775	-0.278060402957398	0.00469337814052326	PPP2CA
38	K7ELL7	-0.0847744888671212	0.87624600533593	PRKCSH
39	Q14558	-0.289712910785407	0.325793168606873	PRPSAP1
40	Q8WXF1	-0.142293835389701	0.247267280530319	PSPC1
41	P23471	0.240404667053344	0.0277964130112674	PTPRZ1
42	H0Y6E7	-0.5620135544449	0.0205410550375696	RBMX
43	Q92963	-0.0320114550409382	0.846157323832624	RIT1
44	P13489	0.533801336695592	0.00370055426793032	RNH1
45	Q9H4A4	0.879543687317916	0.313767120047463	RNPEP
46	E7EQV9	-0.239599630984648	0.309967777838807	RPL15
47	P21912	-0.555153477845029	0.000672674114802922	SDHB
48	Q9UH03	-0.331813823825217	0.0224063846630252	SEPTIN3
49	Q9BQI5	-0.377690429619579	0.0133631078283501	SGIP1
50	A0A087WUN7	-0.451333228667623	0.0856632750960919	SLIRP
51	P55327	-0.55712533154555	0.00347682906420075	TPD52
52	A0A087WYR3	-0.509463851696533	0.000112027025031571	TPD52L2
53	O94811	-0.291788189703757	0.089936100908882	TPPP
54	A0A087WWM0	-0.20815939364685	0.0553675398081824	TRAPPC3
55	K7ENG2	-0.293799167844881	0.0352273162578551	U2AF2
56	P47985	-0.316257155660703	0.0565970519824601	UQCRFS1
