ID	LogFC	Pvalue	Symbol
1	P45954	-0.000139629430441807	0.911045039288095	ACADSB
2	Q9UKU0	-0.057556382411558	0.689073772031448	ACSL6
3	P12814	-0.258033684890339	0.0687011200778353	ACTN1
4	P35609	-0.471822445790474	0.0265569114273323	ACTN2
5	F8WAD8	-0.36334887214591	0.0269137287601443	ADAM22
6	Q8NI60	-0.193298465642745	0.517040480318517	COQ8A
7	Q9Y4W6	-0.164931225588996	0.22049624499324	AFG3L2
8	P49418	-0.407594879130508	0.0230872451064329	AMPH
9	Q10567	-0.304960224126952	0.041114143341357	AP1B1
10	O43747	-0.19742628728476	0.177805229596622	AP1G1
11	O95782	-0.421505148708145	0.00300824171741312	AP2A1
12	O94973	-0.260994145865544	0.0619452655605695	AP2A2
13	A0A087X253	-0.157107331529202	0.206589727000386	AP2B1
14	Q13367	-0.343661973699782	0.0380340252737348	AP3B2
15	Q9UKG1	0.0244020651670107	0.84601586705881	APPL1
16	Q9UNA1	-0.317164328802782	0.0442647618995019	ARHGAP26
17	E7ERK8	-0.109280291119708	0.680806248956711	ARHGAP44
18	Q92974	-0.471666401715911	0.0183126737424043	ARHGEF2
19	B1ALK7	-0.263447701408299	0.0920584914039312	ARHGEF7
20	Q9NVI7	0.0920869446147119	0.557536111848196	ATAD3A
21	P38606	-0.170801400858429	0.258951826524488	ATP6V1A
22	B8ZZW5	-0.212368421574669	0.27371266269056	AVL9
23	Q7Z3D6	0.793939624426442	0.00276896335091178	DGLUCY
24	P54289	-0.0892978074252821	0.481759559982833	CACNA2D1
25	A0A087WZR6	-0.12291057528923	0.422255767709665	A0A087WZR6
26	Q8NFZ8	0.0571289138740767	0.608029354717397	CADM4
27	Q16566	-0.845817905528594	0.0116634863951416	CAMK4
28	Q86VP6	0.0737515877001233	0.443571317240978	CAND1
29	P40123	-0.268550213092452	0.225673977335953	CAP2
30	E7ERI8	-0.321434995704383	0.00880790607476859	CLASP2
31	Q14677	-0.7495224182642	0.0109198188825842	CLINT1
32	O94985	-0.51711257071862	0.0792658532499809	CLSTN1
33	P31146	-0.226080094457048	0.335496973183718	CORO1A
34	O75534	0.0536135019254593	0.719581679396842	CSDE1
35	A0A087WUT8	-0.437944234327256	0.123077368264377	CSPG5
36	C9JZR2	-0.0731051520978761	0.561306014156499	CTNND1
37	Q13618	-0.078790771819017	0.499270140133314	CUL3
38	F5GXX5	0.260325194428771	0.175734581015144	DAD1
39	H0YDD4	-0.169384791217077	0.168691620010571	DLAT
40	Q12959	-0.29413976104243	0.0660678318601713	DLG1
41	Q5JUW8	-0.522892478275205	0.0204916190898398	DLG3
42	P78352	-0.44249626279707	0.00749042843572812	DLG4
43	O75061	-0.366176466609084	0.0242292873825881	DNAJC6
44	Q05193	-0.136327062067803	0.277552897406354	DNM1
