ID	LogFC	Pvalue	Symbol
1	Q8NCW5	0.414027549685454	0.190958370486071	NAXE
2	A0A087WX97	0.162922137954747	0.613405380648773	BCL2L13
3	P55957	0.350365862308374	0.44651823309733	BID
4	Q07021	0.172145638386713	0.194191474807244	C1QBP
5	P05937	0.227848278919052	0.713078501038088	CALB1
6	F5H3E1	0.367935468516814	0.00281087404894243	CCAR1
7	P30085	0.249541737674393	0.0408029333506149	CMPK1
8	Q96HU8	0.0546179862627515	0.472394708870964	DIRAS2
9	P24534	-0.0561748963224594	0.543019824424117	EEF1B2
10	Q9BRX8	-0.129677982726364	0.299716228908147	PRXL2A
11	P14324	0.66306353609572	0.173716102290258	FDPS
12	G3V4P8	0.643217420873981	0.0544146452269252	GMFB
13	K7EK78	0.0792133587735669	0.656151439023582	K7EK78
14	Q9UQ80	-0.159592270260679	0.893613869208428	PA2G4
15	Q13153	0.250655334009376	0.935122869171887	PAK1
16	O00764	0.103541091818776	0.42600235138156	PDXK
17	P25786	-0.0584611855103679	0.653293944148863	PSMA1
18	P28066	0.0199483758766511	0.860644067413837	PSMA5
19	Q99436	-0.076106450353148	0.599439266027576	PSMB7
20	Q9ULC3	0.218966478695928	0.151430736633056	RAB23
21	P20339	0.24070157749901	0.107902966989382	RAB5A
22	P61020	0.0968995282459138	0.363836869100355	RAB5B
23	P51148	0.176443054918921	0.0114684969618962	RAB5C
24	P20340	0.235717947911219	0.00930642994324829	RAB6A
25	Q9NRW1	0.273123778741808	0.148001660558032	RAB6B
26	O95197	-0.336645686274383	0.00205666072581152	RTN3
27	P61081	0.105565546704583	0.7296552878313	UBE2M
28	P61088	0.631040705773564	0.0984723690544657	UBE2N
29	D6R956	0.266066684925119	0.206508869120643	UCHL1
30	P31946	-0.0148996245401627	0.875309461337421	YWHAB
31	P62258	0.0477697670535467	0.653725423451141	YWHAE
32	Q04917	0.0619609961192165	0.642312424773727	YWHAH
33	P27348	0.145538568828963	0.125274818067866	YWHAQ
34	P63104	0.151718029913029	0.133634417743887	YWHAZ
