ID	LogFC	Pvalue	Symbol
1	O00154	0.0230782257934786	0.994901451099323	ACOT7
2	C9JIF9	0.233808271282711	0.413487130293292	APEH
3	Q8N2F6	-0.127415642934259	0.344817336570396	ARMC10
4	Q9NT62	-0.326445818460097	0.423502407609229	ATG3
5	C9JA36	0.444664715854845	0.183802467150917	ATP1B3
6	P53004	0.939656261264589	0.173635286707449	BLVRA
7	P16870	-0.0165168447971079	0.948425307736404	CPE
8	Q14894	0.265673020784738	0.377769998181699	CRYM
9	P19784	0.00893740206194946	0.847865946631896	CSNK2A2
10	P09104	-0.071412551220309	0.557350414846453	ENO2
11	P13804	0.349473264755307	0.176691811533668	ETFA
12	P41250	0.0482304905277502	0.775636702934584	GARS
13	P31150	0.139421345585995	0.401587452527349	GDI1
14	P50395	0.130225326353427	0.537598539198194	GDI2
15	P17174	-0.179474613709044	0.516718991927368	GOT1
16	P34932	-0.0762471020465329	0.802854988214549	HSPA4
17	P10809	-0.0685203945818482	0.594960396171328	HSPD1
18	Q92598	-0.046253951077372	0.775502050450753	HSPH1
19	P00338	0.262232625775419	0.325499218959147	LDHA
20	P07195	0.629250488227031	0.00221581462709528	LDHB
21	P40925	0.277904217891193	0.378515756225702	MDH1
22	Q92882	0.0796289775779287	0.615990076359074	OSTF1
23	P07237	0.34806155774194	0.0257735220405246	P4HB
24	Q6PCE3	-0.0363476594848775	0.98479301775553	PGM2L1
25	Q15435	0.254831546738119	0.405956669938709	PPP1R7
26	A6PVN5	0.540923781877642	0.00028399137877238	PTPA
27	P16298	-0.0775984117773246	0.57887923195287	PPP3CB
28	Q13636	-0.064009343653443	0.566789177599584	RAB31
29	K7ELW1	-0.458404148589584	0.254532403152994	RAD23A
30	C9JDM3	-0.145735748480051	0.396414560943328	RANBP1
31	P19623	1.31138915586757	0.00289086924196859	SRM
32	O75663	0.0333778250368835	0.90703257150685	TIPRL
33	Q9C040	0.0401472483295965	0.681500773987755	TRIM2
34	A0A0A6YYH3	0.237405902663298	0.115351489043626	A0A0A6YYH3
