ID	LogFC	Pvalue	Symbol
1	A0A0A0MRT6	0.285051966771875	0.0429965587722588	ABI1
2	P53396	-0.213641308582513	0.31521580825718	ACLY
3	Q9Y305	-0.0927088320236754	0.5641239934418	ACOT9
4	P25098	-0.130552752711605	0.620581857450805	GRK2
5	Q9NRZ7	-0.112912673151375	0.622209259934376	AGPAT3
6	P01019	1.42254611483012	0.0482437401597522	AGT
7	O43865	-0.0445091426148253	0.723901608147646	AHCYL1
8	O95433	0.17436520176501	0.338953656949712	AHSA1
9	Q9Y6K8	-0.0674100683733392	0.628964370246744	AK5
10	P02768	0.0768779120866424	0.854512139365764	ALB
11	Q12955	-0.412451322075976	0.0591240809645918	ANK3
12	G3V0G5	-0.163161181332507	0.582073424018602	ANKMY2
13	E7ENJ6	-0.198689935012276	0.264873664541942	AP1M1
14	A0A087WY71	-0.254354178652447	0.124782967512823	AP2M1
15	O14617	-0.334389145625083	0.0509278998352102	AP3D1
16	O75915	-0.185367873621739	0.381292671167995	ARL6IP5
17	Q92747	-0.312528130439555	0.0984689164190189	ARPC1A
18	O15144	0.0742870263810537	0.317818975252601	ARPC2
19	Q86WG3	-0.35482001397881	0.171252706042939	ATCAY
20	Q8WXF7	-0.0752355747195905	0.452666373962066	ATL1
21	P05023	-0.453253577918977	0.0311008990044048	ATP1A1
22	A0A0A0MT26	-0.389685589592803	0.0733628742195325	ATP1A3
23	P16615	-0.443218489208622	0.0245743188240114	ATP2A2
24	P20020	-0.311699630705218	0.180418232795302	ATP2B1
25	Q01814	-0.592269047042966	0.0256189701440037	ATP2B2
26	Q16720	-0.430001265880141	0.0762631896505035	ATP2B3
27	Q93050	-0.370059646096272	0.0909157221575564	ATP6V0A1
28	Q9Y2Q0	0.0546345452069158	0.993698963709988	ATP8A1
29	O75110	-0.1028936283668	0.624947683934962	ATP9A
30	P46379	-0.0197250638665991	0.871778006675704	BAG6
31	Q9Y276	-0.298304098561543	0.236175242600654	BCS1L
32	Q8WY22	0.25972825845615	0.106716717065038	BRI3BP
33	J3KQ12	-0.290388756533184	0.195372022859326	BSCL2
