ID	LogFC	Pvalue	Symbol
1	Q9BTE6	-0.0750509025663745	0.906546710773551	AARSD1
2	E7EP65	-0.0945503321429338	0.407543835082653	ABI2
3	F5H459	-0.345494580933598	0.0253993869783694	AP3S1
4	H7C1U8	-0.304085630572458	0.0361520465169177	APOO
5	P62330	-0.074485696310108	0.344923476858051	ARF6
6	C9JZD1	-0.0191701970091788	0.843814442847494	ARPC3
7	Q9BPX5	-0.174227997494777	0.29022544157597	ARPC5L
8	P36542	-0.30403212214488	0.0472503294139161	ATP5F1C
9	P24539	-0.26990581091708	0.0226031696467079	ATP5PB
10	O75947	-0.360751362382566	0.000684159115300249	ATP5PD
11	P56134	-0.359953854353465	0.0014274636262678	ATP5MF
12	E9PN17	-0.0335819316038244	0.775858211301619	ATP5MG
13	H0Y750	-0.145733144215472	0.262442455613492	H0Y750
14	P27449	-0.0889663773061793	0.481570211173697	ATP6V0C
15	G3V2S6	0.00436362681641888	0.987954839915406	ATP6V1D
16	Q9UQB8	-0.0798185714396766	0.522273980801899	BAIAP2
17	Q96D05	-0.330362711003912	0.211148805636605	FAM241B
18	K7EPS8	0.198405557403151	0.659773903710157	C19orf12
19	F8WD64	0.122323214904283	0.597062798829372	STUM
20	Q8WWC4	-0.182690040042871	0.201615360488333	MAIP1
21	P01024	0.39387440312396	0.391050322206808	C3
22	H7C4U4	-0.151528294079251	0.312101565368447	C6orf136
23	P22748	-0.078581770026395	0.538443697946589	CA4
24	P49589	0.128280097080672	0.316106923843269	CARS
25	Q8TCZ2	-0.172323042746539	0.40215452476964	CD99L2
26	Q00535	-0.552572870658944	0.000232556997375097	CDK5
27	C9JRZ6	-0.10466983436782	0.375328634544031	CHCHD3
28	J3QTA6	-0.258963072661113	0.351813208932658	CHCHD6
29	I3L4A1	-0.276018706594183	0.130115533003901	CHMP6
30	F5GX29	-0.36791395142125	0.0502214273517435	CHP1
31	Q9NZ45	-0.754250463346854	0.00453719538030058	CISD1
32	Q5SYC1	0.452459087590585	0.104284203317119	CLVS2
33	Q96KP4	0.606583881871584	0.0526171532254204	CNDP2
34	Q9Y2R0	-0.410755595541825	0.0759436048304187	COA3
35	A0A087X0I4	0.0712637848902065	0.720924090545717	A0A087X0I4
36	Q9BT78	-0.234339863944067	0.154109848164473	COPS4
37	Q9UBW8	-0.162432429293365	0.192188263848375	COPS7A
38	H3BP28	-0.227720716811894	0.799336623546972	COQ7
39	P13073	-0.294158211839104	0.0710161294158123	COX4I1
40	P20674	-0.386590264180838	0.04124925509981	COX5A
41	P10606	-0.683950901229289	0.0108324128966063	COX5B
42	P09669	-0.497701279926107	0.0371397682585887	COX6C
43	D6R9C3	-0.379051309402952	0.0647112878775195	COX7A2
44	O14548	-0.450818186020606	0.0152030604911806	COX7A2L
45	J3KNF8	-0.0410163582036693	0.828781018101442	J3KNF8
46	Q9UHQ9	-0.0456551971037223	0.665981087636647	CYB5R1
47	P08574	-0.43008470248767	0.0119465263252398	CYC1
48	Q16643	-0.0952658793837451	0.441265577303148	DBN1
49	O15075	-0.198243792876952	0.14229676973264	DCLK1
50	C9J2C4	0.112512175855617	0.556344948846853	DNAJB6
