UniProt_accession	UniProt_fasta_header	UniProt_gene_symbol	A1	A2	A3	A8	A9	B1	B2	B5	B6	B8	C5	C10	D1	D2	D3	D5	D6	D9	E3	E4	K4	K5
P01023	>sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	A2M	1072.18709293101	931.070872906617	1128.79936586465	849.507559871013	1004.21737305985	406.165350980556	645.744082188728	830.451532124925	1626.52241802156	852.034398950233	627.760278505007	812.640485762527	773.490208543804	1114.17987812037	613.373333244727	961.063668831721	702.233239349948	1081.22254601784	1093.83386348825	833.746162255114	784.144757254072	778.975588456712
Q2M2I8	>sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3	AAK1	505.601655505647	804.600607877208	597.138177158834	863.425247019563	813.927848891205	617.111205596569	761.893924519922	968.396430259199	680.388070798771	720.067018276973	373.318400689055	540.226885783357	527.479318446787	444.796058711978	511.760778964026	480.148831697701	400.981219335151	697.094759510153	554.770621896219	595.192183890534	747.81967727636	726.627372962334
P49588	>sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS PE=1 SV=2	AARS	2686.54446374665	2536.6408428807	2444.24651672809	1964.9516388703	2227.84028773973	2654.01815367115	2856.86196369103	2629.2936289107	2246.42613543708	2455.38805467609	2058.30994223198	1860.18254479311	2353.66040958113	2846.31862925036	2475.50784772492	2221.56523346394	2622.1794214325	2427.30243693385	1686.24954344239	1734.43950852977	2233.78687279687	1698.38692786653
Q9BTE6-3	>sp|Q9BTE6-3|AASD1_HUMAN Isoform of Q9BTE6, Isoform 3 of Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens OX=9606 GN=AARSD1	AARSD1	45.8152130601955	92.513611545457	89.9406052594215	75.0501613959094	114.481436159793	116.497900937937	72.3368807861564	75.5660917072864	68.4313011784045	145.153690101508	149.796554406517	84.3325808227426	107.92923276917	81.696416027211	89.6424556489133	79.2350372887174	87.9564615428886	107.185727902219	105.634401375442	89.1692393029742	112.160631124892	115.967278237878
Q9NRN7	>sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2	AASDHPPT	140.259737711026	152.838350063363	174.243174137502	116.805746807261	124.142875841094	166.416941695164	195.262786637086	185.596572189511	143.071268640735	98.3354268657408	152.670247529091	114.675442049432	172.184871663146	158.81045514085	182.94482852604	191.117093837215	156.896145227246	172.160731579661	120.146483739341	137.843167841417	169.448793307859	175.027674937909
H3BNQ7;H3BRN4;P80404	>tr|H3BNQ7|H3BNQ7_HUMAN Isoform of P80404, 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=1;>tr|H3BRN4|H3BRN4_HUMAN Isoform of P80404, 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=1;>sp|P80404|GABT_HUMAN 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=3	ABAT	2827.70130654412	1739.43834447414	1681.6930804228	2027.31023427051	1955.48600224933	2006.01363926719	1941.17694052674	1506.73719979832	2640.56682070813	1903.90174634283	2002.45110705878	1473.78643686134	2357.56443205653	3012.73819336553	2896.39093195871	2240.14782709896	3310.1112088011	1452.25131341989	1443.5103059003	1679.96579752537	2066.32227480145	2425.69871993752
A0A087WXK5;E9PGB2;J3QSS3;Q9BZC7;Q9BZC7-2;Q9BZC7-3	>tr|A0A087WXK5|A0A087WXK5_HUMAN Isoform of Q9BZC7, ATP-binding cassette sub-family A member 2 OS=Homo sapiens OX=9606 GN=ABCA2 PE=1 SV=1;>tr|E9PGB2|E9PGB2_HUMAN Isoform of Q9BZC7, ATP-binding cassette sub-family A member 2 OS=Homo sapiens OX=9606 GN=ABCA2 PE=1 SV=2;>tr|J3QSS3|J3QSS3_HUMAN Isoform of Q9BZC7, ATP-binding cassette sub-family A member 2 OS=Homo sapiens OX=9606 GN=ABCA2 PE=1 SV=2;>sp|Q9BZC7|ABCA2_HUMAN ATP-binding cassette sub-family A member 2 OS=Homo sapiens OX=9606 GN=ABCA2 PE=1 SV=4;>sp|Q9BZC7-2|ABCA2_HUMAN Isoform of Q9BZC7, Isoform 2 of ATP-binding cassette sub-family A member 2 OS=Homo sapiens OX=9606 GN=ABCA2;>sp|Q9BZC7-3|ABCA2_HUMAN Isoform of Q9BZC7, Isoform 3 of ATP-binding cassette sub-family A member 2 OS=Homo sapiens OX=9606 GN=ABCA2	ABCA2	85.4001000301508	58.6599736054137	6.31293081080641	25.6672944515282	29.2542467806937	22.7883994706644	18.8295783010741	21.7321436272797	11.7784853065926	39.6775585350301	18.3319857376344	23.6048143247972	19.4083198828466	16.1519463742482	13.8182668304958	18.4310484792728	20.3595117616721	18.477443987761	34.3743659749717	39.7985638576167	36.6808809785448	31.3678793984305
Q9NUJ1	>sp|Q9NUJ1|ABHDA_HUMAN Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Homo sapiens OX=9606 GN=ABHD10 PE=1 SV=1	ABHD10	520.124324641335	997.798499582459	888.277539496719	1236.31366449851	758.776546183295	768.437937101255	692.291152087034	886.797567498046	840.189983268407	734.43676825547	882.854433616949	1076.73398830487	755.609712910447	739.060566947608	801.449707033615	768.378308335557	870.303224223798	744.04422704634	343.097560574664	386.408326688681	924.005967832684	841.624891943267
Q8NFV4;Q8NFV4-4	>sp|Q8NFV4|ABHDB_HUMAN Protein ABHD11 OS=Homo sapiens OX=9606 GN=ABHD11 PE=1 SV=1;>sp|Q8NFV4-4|ABHDB_HUMAN Isoform of Q8NFV4, Isoform 4 of Protein ABHD11 OS=Homo sapiens OX=9606 GN=ABHD11	ABHD11	291.879157936063	305.785384006182	230.97713071042	317.345259133007	295.793974644864	247.027815730337	346.35028804997	265.633991662704	226.620640882914	332.984840196066	305.764584690198	305.477372907041	349.364428482461	452.141479778714	159.344289088342	147.287634530782	258.355007433619	249.744776885748	352.954104627556	344.636517455463	284.197248348767	112.937855848715
Q8N2K0;Q8N2K0-2;Q8N2K0-3	>sp|Q8N2K0|ABD12_HUMAN Monoacylglycerol lipase ABHD12 OS=Homo sapiens OX=9606 GN=ABHD12 PE=1 SV=2;>sp|Q8N2K0-2|ABD12_HUMAN Isoform of Q8N2K0, Isoform 2 of Monoacylglycerol lipase ABHD12 OS=Homo sapiens OX=9606 GN=ABHD12;>sp|Q8N2K0-3|ABD12_HUMAN Isoform of Q8N2K0, Isoform 3 of Monoacylglycerol lipase ABHD12 OS=Homo sapiens OX=9606 GN=ABHD12	ABHD12	103.924808667423	137.142313525438	109.444281587467	150.29405118634	153.249965892308	109.266984937801	141.612021899144	108.408181928209	116.733718228931	112.663989480669	148.681662281695	95.0389316726461	49.1779669164896	68.716229352225	52.0286489663215	62.1700607644417	56.8694243916591	92.3138071651876	73.8210350586565	106.60696448242	142.757943022315	104.264772174648
B4DQI4;F8W9U3;Q96IU4	>tr|B4DQI4|B4DQI4_HUMAN Isoform of Q96IU4, Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;>tr|F8W9U3|F8W9U3_HUMAN Isoform of Q96IU4, Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;>sp|Q96IU4|ABHEB_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1	ABHD14B	41.0352007413906	9.84528665544006	15.5571543369314	11.2148310996427	17.4510801137676	12.4056245954234	12.3888799403519	14.9799611467502	16.3711778400545	19.0706105897365	37.0179451520683	10.866732284227	22.5634220403977	52.1643043634538	30.6805033128474	21.1172978292822	50.5295020035775	10.9796743924746	8.45213927222238	1.49973555107273	8.98264193777098	19.7332112275016
O95870;O95870-2	>sp|O95870|ABHGA_HUMAN Protein ABHD16A OS=Homo sapiens OX=9606 GN=ABHD16A PE=1 SV=3;>sp|O95870-2|ABHGA_HUMAN Isoform of O95870, Isoform 2 of Protein ABHD16A OS=Homo sapiens OX=9606 GN=ABHD16A	ABHD16A	147.29075049908	272.11540404155	246.980405660714	156.648736493236	243.644409719114	142.496009825293	296.902645189586	353.629061297274	164.353895537837	229.171635018522	179.095805000636	219.807239047173	179.345026266266	199.016208030016	204.274301848433	228.356275032602	172.606113256454	163.693094581802	255.381579381813	250.893333561453	385.51831767676	375.318237292506
